iyear,imonth,iday,extended,region,provstate,city,vicinity,crit1,crit2,crit3,doubtterr,multiple,success,suicide,attacktype1,targtype1,targsubtype1,corp1,target1,natlty1,guncertain1,nperps,nperpcap,claimed,claimmode,compclaim,weaptype1,weapsubtype1,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,ishostkid,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,gname
2014,7,6,0,11,0,0,0,1,1,1,0,0,1,0,2,14,74,0,0,195,0,-99,0,0,10,0,5,5,1,0,0,3,0,0,1,3,0,0,0,0,0,109
2014,5,21,0,10,0,0,1,1,1,0,1,0,1,0,3,4,29,0,0,97,0,-99,0,1,8,0,6,16,0,0,0,0,0,0,1,3,0,0,0,0,0,45
2014,2,7,0,10,0,0,0,1,1,1,0,0,1,0,2,4,34,0,0,228,0,-99,0,0,10,0,5,5,6,0,2,0,0,0,0,4,0,-9,-9,0,-9,64
2011,4,19,0,6,0,0,0,1,0,1,1,0,1,0,9,22,109,0,0,92,1,-99,0,0,10,0,13,0,1,0,1,0,0,0,-9,4,0,0,0,0,0,6
2011,2,1,1,5,0,0,0,1,1,1,0,0,1,0,2,3,24,0,0,160,1,-99,0,0,10,0,5,5,2,0,0,1,0,0,0,4,1,0,0,0,0,3
2013,10,17,0,10,0,0,0,1,1,1,0,0,1,0,2,3,23,0,0,208,0,9,4,0,10,0,5,2,2,0,0,1,0,0,1,3,0,-9,-9,0,-9,96
2014,7,5,0,11,0,0,0,1,1,1,0,1,1,0,2,14,75,0,0,147,0,120,0,0,10,0,5,5,7,0,0,15,0,0,1,4,0,-9,-9,0,-9,81
2014,4,10,1,11,0,0,0,1,1,1,0,0,1,0,6,8,49,0,0,147,0,-99,0,0,10,0,5,5,8,0,0,0,0,0,1,3,1,0,0,0,0,1
2012,4,10,0,6,0,0,0,1,1,0,1,0,1,0,3,4,37,0,0,422,0,-99,0,1,8,0,6,8,0,0,0,1,0,0,1,4,0,0,1,1,1,5
2014,1,29,0,6,0,0,0,1,1,0,1,1,1,1,3,4,27,0,0,153,0,1,0,1,8,0,6,13,4,0,1,5,0,0,-9,4,0,0,0,0,0,2
2014,10,13,0,5,0,0,0,1,1,0,1,0,1,0,2,4,29,0,0,160,0,-99,0,0,10,0,5,4,0,0,0,1,0,0,0,4,0,0,0,0,0,3
2013,6,15,0,10,0,0,0,1,1,1,0,1,1,0,9,3,22,0,0,113,0,-99,0,0,10,0,13,0,1,0,0,2,0,0,-9,4,0,1,1,0,1,0
2014,8,16,1,6,0,0,0,1,1,1,0,1,1,0,6,14,72,0,0,92,0,15,0,0,10,0,5,5,0,0,0,0,0,0,0,4,1,-9,-9,0,-9,64
2014,12,16,0,10,0,0,0,1,1,1,0,0,1,0,9,3,25,0,0,95,0,-99,0,1,7,1,13,0,0,0,0,0,0,0,-9,4,0,0,0,0,0,99
2011,4,2,0,3,0,0,0,1,1,1,0,0,1,0,7,19,99,0,0,45,1,-99,0,0,10,0,8,18,0,0,0,0,0,0,1,3,0,0,0,0,0,7
2011,6,11,0,6,0,0,0,1,1,1,0,0,1,1,1,3,25,0,0,4,1,1,0,0,10,0,6,13,4,0,1,23,0,0,1,3,0,0,0,0,0,5
2013,10,2,0,6,0,0,0,1,1,1,0,0,1,0,2,3,23,0,0,153,0,22,22,0,10,0,6,7,0,0,0,4,0,0,0,4,0,0,0,0,0,2
2012,10,28,0,10,0,0,0,1,1,1,0,1,1,0,2,3,25,0,0,209,0,-99,0,0,10,0,6,11,0,0,0,0,0,0,-9,4,0,0,0,0,0,28
2014,12,28,0,9,0,0,0,1,1,1,0,1,1,0,3,14,75,0,0,214,0,-99,0,0,10,0,6,11,0,0,0,0,0,0,-9,4,0,-9,-9,0,-9,112
2013,12,18,0,11,0,0,0,1,1,1,0,0,1,0,2,14,67,0,0,104,1,-99,0,0,10,0,5,5,2,0,0,4,0,0,-9,4,0,1,1,0,1,4
2012,2,8,0,11,0,0,0,1,1,1,0,0,1,1,3,2,18,0,0,182,0,-99,0,1,8,0,6,15,16,0,1,23,0,0,1,3,0,0,0,0,0,4
2014,8,14,0,11,0,0,0,1,1,1,0,0,1,0,2,14,75,0,0,37,0,-99,0,0,10,0,5,5,7,0,6,0,0,0,1,4,-9,1,1,0,1,1
2014,9,27,0,9,0,0,1,1,1,0,1,1,1,0,2,4,36,0,0,214,0,-99,0,0,10,0,5,5,0,0,0,0,0,0,0,4,0,-9,-9,0,-9,112
2012,11,14,0,6,0,0,1,1,1,1,0,0,1,0,7,8,49,0,0,92,0,25,0,0,10,0,8,18,0,0,0,0,0,0,1,3,0,-9,-9,0,-9,52
2011,11,9,0,6,0,0,0,1,1,1,0,0,0,0,2,3,22,0,0,153,0,-99,0,0,10,0,5,5,0,0,0,0,0,0,-9,4,0,-9,-9,0,-9,51
