iyear,imonth,iday,extended,region,provstate,city,vicinity,crit1,crit2,crit3,doubtterr,multiple,success,suicide,attacktype1,targtype1,targsubtype1,corp1,target1,natlty1,guncertain1,nperps,nperpcap,claimed,claimmode,compclaim,weaptype1,weapsubtype1,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,ishostkid,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,gname
2013,7,22,0,6,0,0,0,1,1,1,0,0,1,0,3,20,0,0,0,0,0,2,0,0,10,0,6,16,2,0,2,0,0,0,0,4,0,0,1,1,1,5
2014,2,13,0,10,0,0,0,1,1,1,0,1,1,0,3,14,74,0,0,95,0,-99,0,0,10,0,6,16,1,0,0,5,0,0,1,3,0,-9,-9,0,-9,99
2013,6,24,0,10,0,0,0,1,1,1,0,1,1,0,3,14,75,0,0,95,0,-99,0,1,7,0,6,15,1,0,0,10,0,0,-9,4,0,-9,-9,0,-9,99
2013,5,6,0,6,0,0,0,1,1,1,0,0,1,0,3,14,84,0,0,153,0,-99,0,1,8,0,6,16,23,0,0,70,0,0,0,4,0,0,0,0,0,2
2014,6,11,1,10,0,0,0,1,1,1,0,0,1,0,6,14,67,0,0,95,0,-99,0,1,5,0,5,5,53,0,0,0,0,0,0,4,1,-9,-9,0,-9,0
2011,11,24,0,10,0,0,0,1,1,1,0,0,0,0,1,4,34,0,0,95,0,-99,0,0,10,0,5,5,0,0,0,1,0,0,0,4,0,-9,-9,0,-9,53
2011,7,29,0,6,0,0,0,1,1,1,0,0,1,0,6,14,67,0,0,4,1,-99,0,0,10,0,9,23,4,0,0,0,0,0,-9,4,1,0,0,0,0,5
2012,2,25,0,11,0,0,0,1,1,1,0,0,1,0,2,3,25,0,0,147,1,2,0,0,10,0,5,5,1,0,0,1,0,0,0,4,0,0,0,0,0,1
2014,5,10,1,6,0,0,1,1,1,1,0,0,1,0,6,14,75,0,0,92,0,30,0,1,5,0,8,18,2,0,0,1,0,0,1,3,1,0,0,0,0,6
2013,6,29,0,5,0,0,0,1,1,0,1,0,1,0,3,4,35,0,0,205,0,-99,0,0,10,0,6,17,8,0,0,4,0,0,1,4,0,-9,-9,0,-9,57
2014,11,12,0,3,0,0,0,1,1,1,0,0,1,0,3,3,23,0,0,45,0,-99,0,0,10,0,6,16,0,0,0,1,0,0,1,3,0,0,0,0,0,7
2014,8,11,0,6,0,0,0,1,1,1,0,0,1,0,2,3,22,0,0,4,0,-99,0,1,7,0,5,5,3,0,0,0,0,0,0,4,0,0,0,0,0,5
2014,2,3,0,10,0,0,0,1,1,1,0,0,1,1,3,19,99,0,0,110,0,-99,0,1,7,0,6,13,2,0,1,2,0,0,1,3,0,1,1,0,1,62
2014,5,30,1,9,0,0,0,1,1,1,0,0,1,0,6,7,47,0,0,422,0,-99,0,0,10,0,5,5,0,0,0,0,0,0,0,4,1,-9,-9,1,1,113
2011,4,25,0,6,0,0,0,1,1,1,0,0,1,0,9,1,12,0,0,92,1,-99,0,0,10,0,13,0,0,0,0,0,0,0,1,3,0,0,0,0,0,6
2013,1,6,0,6,0,0,0,1,1,1,0,1,1,0,3,15,86,0,0,19,1,-99,0,0,10,0,6,17,0,0,0,0,0,0,-9,4,0,0,0,0,0,77
2014,8,23,0,10,0,0,0,1,1,1,0,0,1,1,3,2,20,0,0,95,1,1,0,0,10,0,6,15,9,0,1,24,0,0,1,3,0,-9,-9,0,-9,99
2012,12,17,0,6,0,0,0,1,1,1,0,0,1,0,3,3,25,0,0,4,0,-99,0,0,10,0,6,12,0,0,0,3,0,0,1,3,0,0,0,0,0,5
2014,9,2,0,6,0,0,1,1,1,1,0,0,0,0,3,4,34,0,0,92,1,-99,0,0,10,0,6,17,0,0,0,0,0,0,0,4,0,-9,-9,0,-9,52
2014,9,3,0,8,0,0,0,1,1,1,0,0,1,0,7,3,23,0,0,216,0,-99,1,1,7,0,8,18,0,0,0,0,0,0,1,3,0,1,1,1,1,38
2013,9,9,0,10,0,0,0,1,1,1,0,0,0,0,3,2,21,0,0,228,0,3,3,0,10,0,6,16,0,0,0,0,0,0,0,4,0,0,1,0,1,12
2012,9,30,0,10,0,0,0,1,1,1,0,1,1,1,3,14,69,0,0,95,0,1,0,1,7,0,6,15,2,0,1,4,0,0,0,4,0,0,0,0,0,17
2013,2,19,0,10,0,0,1,1,1,1,0,0,1,0,3,2,17,0,0,200,0,-99,0,1,7,0,6,11,0,0,0,0,0,0,1,3,0,0,0,0,0,56
2012,4,3,0,6,0,0,0,1,1,1,0,0,1,0,3,3,25,0,0,4,0,-99,0,0,10,0,6,16,2,0,0,0,0,0,1,3,0,0,0,0,0,5
2014,9,16,0,5,0,0,0,1,1,1,0,0,1,0,3,14,80,0,0,160,0,1,0,0,10,0,6,17,0,0,0,6,0,0,1,3,0,0,0,0,0,85
2014,8,20,1,11,0,0,0,1,1,1,0,0,1,0,6,14,77,0,0,104,0,19,0,0,10,0,9,23,1,0,0,0,0,0,1,3,1,1,1,0,1,4
2012,5,9,0,6,0,0,0,1,1,1,0,1,1,0,3,15,87,0,0,153,1,-99,0,0,10,0,6,16,0,0,0,0,0,0,1,3,0,0,0,0,0,2
2013,12,30,0,10,0,0,0,1,1,0,1,0,1,0,2,4,36,0,0,95,0,-99,0,1,7,0,5,2,4,0,0,2,0,0,0,4,0,-9,-9,0,-9,99
2014,11,7,0,6,0,0,0,1,1,1,0,0,1,0,1,2,18,0,0,4,0,-99,0,0,10,0,5,5,2,0,0,0,0,0,1,3,0,0,0,0,0,5
2014,6,20,1,10,0,0,0,1,1,1,0,0,1,0,6,1,4,0,0,69,0,-99,0,1,8,0,13,0,0,0,0,0,0,0,0,4,1,-9,-9,1,1,115
2014,5,18,0,6,0,0,0,1,1,1,0,0,1,0,3,14,70,0,0,4,0,-99,0,0,10,0,6,8,1,0,0,2,0,0,0,4,0,0,0,0,0,5
2013,3,14,0,11,0,0,0,1,1,1,0,0,1,0,3,3,25,0,0,182,1,-99,0,0,10,0,6,7,1,0,0,0,0,0,0,4,0,0,0,0,0,4
